pH,Dissolved Oxygen,Temperature,Ammonia,Nitrite,Nitrate
6.766060050686704,4.096170941043272,24.929792278811092,4.6585976312337625,0.9263218171305427,33.15064464297801
8.483929390506756,6.819162724103688,18.31709060392863,1.0387009403108154,0.5645496883794069,35.28281704916624
7.133982115878459,6.422208618690003,28.027405280673428,2.682763461505485,0.41021215909316944,1.7784020415568536
8.943544676381526,9.258988732654025,17.781626763289392,1.1723400169240135,0.6563131977186084,29.02938502609942
7.398759844583506,4.451023733976361,29.958446426202528,0.5125477059730355,0.24702443941320318,2.2606350799470043
8.375806868891292,10.484942173418096,23.35318727934359,3.860208115244549,0.8798753896614266,5.494511949070152
7.206921124147116,7.732190373654525,17.202635430433517,3.063510547241062,0.616128737068174,24.487608888961258
,7.622180566090361,,0.5196132457390595,0.4849195925194806,31.82649124173395
7.14864944185255,5.814319043056551,,,0.19132455292056227,47.5646525560372
,7.920374138425254,17.82469533817155,,0.012499359444626323,
7.642553652179983,6.911147642682856,,3.4363822782870446,0.1828650139597119,33.817141014509325
8.831334334105108,5.961091490018151,23.263421796814868,3.0202252880995015,0.7765008792257796,44.65201752423767
6.752670949602314,5.349335507371682,,2.071004983786283,0.43159549448203294,
6.301688196250333,9.82668454298809,28.45665157398183,4.3044066360412705,0.8041833439028722,30.872723263138784
7.1797844552976455,5.136343786746449,26.784278764969553,1.7475284938708102,0.23997173835589114,6.794312944407949
7.8501381229403275,5.343855969127097,23.7217088790929,4.114710156514361,0.14497894282808654,32.12618918645504
,8.616570778106336,22.948255357910195,2.9667351074125197,0.20800297485816355,27.91410818912874
7.038590660040983,5.808620058577899,20.606576148249694,1.9625827007662333,0.7384752035761957,16.024520414781122
7.961360253373385,,15.660995979976366,1.7193268053396764,0.6267366885066248,1.1613445581645065
7.050596043069657,8.423338822451571,27.54883286725173,1.3052780370172146,0.8533907022965009,26.21711899934651
7.8516587489833745,6.195438055854648,29.99208362219028,0.08597323628277975,0.5678456570907379,21.738132487864313
8.654423841091953,6.748434006956006,28.812705033928786,3.1038727173968628,0.6240639516655894,0.5851735266248215
6.694072926778227,5.681654616418763,28.995578291195393,2.2722561704136863,,25.153253038332483
7.212724926321117,7.683395913298343,19.998345502583668,1.686023167977645,0.6941871065061654,16.378247453879247
8.979795589289239,11.939199274699227,16.489587582341407,0.8775107570861634,0.36650987728856455,7.942491231895465
