pH,Dissolved Oxygen,Temperature,Ammonia,Nitrite,Nitrate,Plant,Bacteria,Warm Water Fish,Cold Water Fish,Output
6.766060050686704,4.096170941043272,24.92979227881109,4.6585976312337625,0.9263218171305428,33.15064464297801,1,0,0,0,8
8.483929390506756,6.819162724103688,18.31709060392863,1.0387009403108154,0.5645496883794069,35.28281704916624,0,1,0,0,4
7.133982115878459,6.422208618690003,28.027405280673428,2.682763461505485,0.4102121590931694,1.7784020415568536,1,1,0,0,12
8.943544676381526,9.258988732654023,17.781626763289392,1.1723400169240137,0.6563131977186084,29.02938502609942,0,0,0,0,0
7.398759844583506,4.451023733976361,29.958446426202528,0.5125477059730355,0.2470244394132031,2.2606350799470043,1,1,1,0,14
8.375806868891292,10.484942173418096,23.35318727934359,3.860208115244549,0.8798753896614266,5.494511949070152,0,0,0,0,0
7.206921124147116,7.732190373654525,17.202635430433517,3.063510547241062,0.616128737068174,24.487608888961255,1,0,0,0,8
7.665588447694093,7.622180566090361,20.39964140153326,0.5196132457390595,0.4849195925194806,31.82649124173395,0,1,0,0,4
7.14864944185255,5.814319043056551,22.06208350452055,2.14937981645532,0.1913245529205622,47.5646525560372,1,1,1,0,14
7.140283185741668,7.920374138425254,17.82469533817155,3.1177682074293664,0.0124993594446263,19.287705776765794,1,0,0,0,8
7.642553652179983,6.911147642682856,21.31576121538177,3.436382278287045,0.1828650139597119,33.817141014509325,0,0,0,0,0
8.831334334105108,5.961091490018151,23.263421796814868,3.020225288099501,0.7765008792257796,44.65201752423767,0,0,0,0,0
6.752670949602314,5.349335507371682,24.70797419344367,2.071004983786283,0.4315954944820329,34.03009668492135,1,1,1,0,14
6.301688196250333,9.82668454298809,28.45665157398183,4.304406636041271,0.8041833439028722,30.872723263138784,1,0,0,0,8
7.1797844552976455,5.136343786746449,26.784278764969557,1.7475284938708102,0.2399717383558911,6.794312944407949,1,1,1,0,14
7.850138122940327,5.343855969127097,23.7217088790929,4.114710156514361,0.1449789428280865,32.12618918645504,0,0,0,0,0
7.250234202233012,8.616570778106336,22.948255357910195,2.96673510741252,0.2080029748581635,27.91410818912874,1,0,0,0,8
7.038590660040983,5.808620058577899,20.60657614824969,1.962582700766233,0.7384752035761957,16.024520414781122,1,1,0,0,12
7.961360253373385,6.042604072213366,15.660995979976366,1.7193268053396764,0.6267366885066248,1.1613445581645063,0,1,0,0,4
7.050596043069657,8.423338822451571,27.54883286725173,1.3052780370172146,0.8533907022965009,26.21711899934651,1,0,0,0,8
7.8516587489833745,6.195438055854648,29.99208362219028,0.0859732362827797,0.5678456570907379,21.738132487864316,0,1,0,0,4
8.654423841091953,6.748434006956006,28.812705033928783,3.1038727173968628,0.6240639516655894,0.5851735266248215,0,0,0,0,0
6.694072926778227,5.681654616418763,28.995578291195397,2.2722561704136863,0.4288189150570017,25.153253038332483,1,1,1,0,14
7.212724926321117,7.683395913298343,19.998345502583668,1.686023167977645,0.6941871065061654,16.378247453879247,1,1,0,0,12
8.979795589289239,11.939199274699227,16.489587582341407,0.8775107570861634,0.3665098772885645,7.942491231895465,0,0,0,0,0
8.605671084748383,6.901695206946268,28.073747762150845,0.0047255055261358,0.4940006193199854,1.584176775807411,0,0,0,0,0
7.693919573688606,9.226643033948314,26.457148126261288,3.378668509293348,0.0674446634673512,18.705196586972328,0,0,0,0,0
7.549882775562826,8.406232334769573,20.855610909248863,4.298618194708414,0.3237007341498489,5.8240598391168685,0,0,0,0,0
6.8538011469140425,8.766768439397465,27.50366336051831,1.7577746705671269,0.1276182500649775,40.55955089628919,1,0,0,0,8
7.551628283080588,9.695347498003455,17.081035127942975,2.705897633230095,0.3922518399586666,39.39706114917959,0,0,0,0,0
6.6863847475104325,4.094237871776136,24.76626284867092,2.990777503282499,0.6914428230217061,26.244615330118137,1,1,1,0,14
8.055523539833342,6.473736740029379,29.300758285037567,1.2358808711842573,0.3559751766905544,21.33464988725219,0,1,0,0,4
7.220410892685464,10.961867823023365,28.65627497357051,2.439825784630274,0.4858925406907186,13.622620666171754,1,0,0,0,8
6.604391763160599,8.316401748616997,26.41274623745155,3.3288023767535098,0.5515441148531033,4.137191534354984,1,0,0,0,8
6.795625610990488,4.833792689509256,18.99874180208776,4.381404665434422,0.2417545105815799,17.28756938819909,1,0,0,0,8
7.137827168661863,6.209095101393032,18.27545904061693,4.033809232282237,0.0477977000331004,46.386998944232445,1,0,0,0,8
6.286922088071147,6.267088922340654,19.871041690068296,4.346653222557192,0.0049212341881247,49.39757101795789,1,0,0,0,8
7.257408523326164,10.98541883512872,24.26030158173641,4.984448990277444,0.201940219328473,3.0759161155150205,1,0,0,0,8
